Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"Минобороны сообщило о новой массированной атаке ВСУ на Россию перед режимом тишины","Россия","LENTA","Tue, 05 May 2026 10:43:49 +0300","https://lenta.ru/news/2026/05/05/minoborony-soobschilo-o-novoy-massirovannoy-atake-vsu-na-rossiyu-pered-rezhimom-tishiny/","отсутсвует"
"Кайли Дженнер с торчащими сосками посетила Met Gala","Ценности","LENTA","Tue, 05 May 2026 10:40:33 +0300","https://lenta.ru/news/2026/05/05/kayli-dzhenner-s-torchaschimi-soskami-posetila-met-gala/","отсутсвует"
"Премьер Финляндии сделал заявление об украинских дронах","Мир","LENTA","Tue, 05 May 2026 10:40:04 +0300","https://lenta.ru/news/2026/05/05/premier-finlyandii-sdelal-zayavlenie-ob-ukrainskih-dronah/","отсутсвует"
"Россиянка рассказала об освобождении из рабства в Мьянме","Путешествия","LENTA","Tue, 05 May 2026 10:38:14 +0300","https://lenta.ru/news/2026/05/05/rossiyanka-rasskazala-ob-osvobozhdenii-iz-rabstva-v-myanme/","отсутсвует"
"Вступление одной страны в НАТО вызвало страх на Западе","Мир","LENTA","Tue, 05 May 2026 10:38:00 +0300","https://lenta.ru/news/2026/05/05/vstuplenie-odnoy-strany-v-nato-vyzvalo-strah-na-zapade/","отсутсвует"
"Южная Корея ответила на призыв Трампа присоединиться к миссии в Ормузском проливе","Мир","LENTA","Tue, 05 May 2026 10:38:00 +0300","https://lenta.ru/news/2026/05/05/yuzhnaya-koreya-otvetila-na-prizyv-trampa-prisoedinitsya-k-missii-v-ormuzskom-prolive/","отсутсвует"
"Создатель шпионской сети в российском регионе попал на видео","Силовые структуры","LENTA","Tue, 05 May 2026 10:34:53 +0300","https://lenta.ru/news/2026/05/05/sozdatel-shpionskoy-seti-v-rossiyskom-regione-popal-na-video/","отсутсвует"
"Зеленский прокомментировал ночной удар по Украине","Бывший СССР","LENTA","Tue, 05 May 2026 10:34:20 +0300","https://lenta.ru/news/2026/05/05/zelenskiy-prokommentiroval-nochnoy-udar-po-ukraine/","отсутсвует"
"Назван снижающий риск заболеваний сердца напиток","Забота о себе","LENTA","Tue, 05 May 2026 10:32:29 +0300","https://lenta.ru/news/2026/05/05/nazvan-snizhayuschiy-risk-zabolevaniy-serdtsa-napitok/","отсутсвует"
"Продюсер рассказал о требованиях Успенской к молодым мужчинам","Культура","LENTA","Tue, 05 May 2026 10:27:05 +0300","https://lenta.ru/news/2026/05/05/prodyuser-rasskazal-o-trebovaniyah-uspenskoy-k-molodym-muzhchinam/","отсутсвует"
